w1,9463,0.068,0.868,0.064,-0.8686
w2,5868,0.071,0.86,0.069,-0.8068
w3,5588,0.077,0.839,0.084,0.8714
w4,6426,0.04,0.896,0.063,0.9602
w5,4082,0.056,0.874,0.07,0.5574
w6,290,0.107,0.744,0.149,0.296
w7,6702,0.038,0.881,0.081,0.9906
w8,9864,0.046,0.907,0.047,-0.5994
w9,151,0.0,0.706,0.294,0.8176
w10,175,0.129,0.804,0.067,-0.34
w11,34,0.0,1.0,0.0,0.0
w12,153,0.151,0.849,0.0,-0.4767
w13,6846,0.051,0.774,0.175,0.999
w14,9599,0.073,0.864,0.064,-0.9442
w15,7394,0.034,0.897,0.069,0.9873
w16,90,0.0,1.0,0.0,0.0
w17,231,0.086,0.801,0.113,-0.0258
w18,6232,0.061,0.855,0.084,0.9661
w19,4008,0.064,0.827,0.109,0.9795
w20,276,0.108,0.892,0.0,-0.6249
w21,3061,0.076,0.833,0.091,0.8229
w22,94,0.195,0.805,0.0,-0.4404
w23,22954,0.047,0.831,0.122,0.9998
w25,158,0.0,1.0,0.0,0.0
w26,13421,0.036,0.845,0.119,0.9995
w27,5483,0.055,0.879,0.066,0.8836
w28,7435,0.054,0.827,0.119,0.997
w29,4554,0.059,0.829,0.112,0.9898
w30,97,0.0,0.851,0.149,0.2732
w31,805,0.0,1.0,0.0,0.0
w32,139,0.127,0.873,0.0,-0.4404
w33,108,0.0,1.0,0.0,0.0
w34,4760,0.036,0.914,0.05,0.6545
w35,99,0.0,1.0,0.0,0.0
w36,179,0.104,0.896,0.0,-0.4404
w37,1590,0.065,0.824,0.111,0.8957
w38,205,0.18,0.82,0.0,-0.6908
w39,7881,0.117,0.817,0.065,-0.9976
w40,5588,0.098,0.864,0.037,-0.9952
w41,45,0.0,1.0,0.0,0.0
w42,1798,0.008,0.919,0.073,0.9641
w43,3302,0.057,0.906,0.037,-0.8775
w44,9891,0.072,0.831,0.097,0.9857
w45,3323,0.032,0.877,0.091,0.982
w46,1691,0.025,0.895,0.08,0.8893
w47,337,0.0,0.938,0.062,0.25
w48,9508,0.033,0.848,0.119,0.9992
w49,14693,0.065,0.811,0.123,0.9992
w50,258,0.0,0.921,0.079,0.4588
w51,54,0.0,1.0,0.0,0.0
w52,87,0.153,0.847,0.0,-0.4019
w53,3119,0.024,0.936,0.04,0.8368
w54,3855,0.09,0.843,0.067,-0.9387
w55,7088,0.033,0.866,0.101,0.9976
w56,2778,0.025,0.895,0.081,0.9627
w57,4090,0.083,0.87,0.047,-0.9732
w58,10559,0.088,0.863,0.048,-0.9975
w59,10638,0.087,0.845,0.068,-0.9862
w60,24,0.0,1.0,0.0,0.0
w61,850,0.0,1.0,0.0,0.0
w62,5970,0.099,0.802,0.1,-0.4319
w63,6399,0.038,0.912,0.049,0.8094
w64,2876,0.02,0.935,0.046,0.7809
w65,3880,0.038,0.848,0.114,0.9929
w66,6700,0.072,0.865,0.063,-0.9145
w67,158,0.0,1.0,0.0,0.0
w68,94,0.0,1.0,0.0,0.0
w69,1489,0.036,0.926,0.037,-0.2023
w70,6726,0.079,0.879,0.042,-0.9914
w71,7047,0.032,0.824,0.144,0.999
w72,2333,0.062,0.832,0.106,0.9252
w73,3877,0.048,0.866,0.086,0.963
w74,1662,0.022,0.898,0.08,0.9008
w75,89,0.0,1.0,0.0,0.0
w76,125,0.0,1.0,0.0,0.0
w77,8871,0.031,0.886,0.083,0.9962
w78,7292,0.022,0.889,0.089,0.9958
w79,9323,0.102,0.804,0.095,-0.9055
w80,36,0.0,1.0,0.0,0.0
w81,8076,0.077,0.842,0.081,0.5805
w82,157,0.0,1.0,0.0,0.0
w83,5414,0.05,0.912,0.038,-0.9275
w84,12547,0.052,0.886,0.062,0.9175
w85,77,0.0,0.803,0.197,0.4019
w86,3424,0.046,0.832,0.122,0.9914
w87,859,0.0,1.0,0.0,0.0
w88,1635,0.033,0.927,0.039,-0.1531
w89,7526,0.044,0.898,0.058,0.9198
w90,4622,0.061,0.827,0.111,0.9891
w91,9315,0.1,0.824,0.076,-0.994
w92,1030,0.044,0.927,0.03,-0.34
w93,25133,0.072,0.815,0.113,0.9996
w94,11705,0.028,0.845,0.127,0.9995
w95,13687,0.054,0.822,0.124,0.9995
w96,34,0.0,1.0,0.0,0.0
w97,4475,0.069,0.852,0.078,0.7556
w98,99,0.0,1.0,0.0,0.0
w99,160,0.0,1.0,0.0,0.0
w100,355,0.0,1.0,0.0,0.0
w101,212,0.0,1.0,0.0,0.0
w102,13162,0.029,0.844,0.127,0.9995
w103,2166,0.023,0.928,0.049,0.7666
w104,281,0.0,0.808,0.192,0.765
w105,9623,0.028,0.877,0.095,0.998
w106,10823,0.062,0.859,0.079,0.9896
w107,7653,0.044,0.872,0.084,0.9906
w108,108,0.072,0.928,0.0,-0.1027
w109,6824,0.05,0.893,0.057,0.8774
w110,4152,0.072,0.882,0.046,-0.9256
w111,3552,0.05,0.872,0.078,0.8966
w112,14369,0.075,0.835,0.09,0.9893
w113,13058,0.052,0.891,0.057,0.58
w114,12636,0.041,0.875,0.084,0.9975
w115,8567,0.017,0.929,0.054,0.9806
w116,122,0.0,1.0,0.0,0.0
w117,10763,0.087,0.84,0.072,-0.9782
w118,35,0.0,1.0,0.0,0.0
w119,196,0.0,1.0,0.0,0.0
w120,35,0.0,1.0,0.0,0.0
w121,4491,0.015,0.879,0.106,0.9958
w122,6737,0.054,0.894,0.052,0.7955
w123,298,0.059,0.941,0.0,-0.3182
w124,511,0.062,0.88,0.058,-0.0772
w125,8375,0.068,0.877,0.055,-0.958
w126,355,0.0,1.0,0.0,0.0
w127,7577,0.081,0.83,0.089,0.627
w128,109,0.0,0.734,0.266,0.5727
w129,3195,0.024,0.912,0.064,0.957
w130,96,0.0,0.691,0.309,0.7009
w131,199,0.194,0.806,0.0,-0.6486
w132,88,0.0,1.0,0.0,0.0
w133,1491,0.0,0.932,0.068,0.9367
w134,8597,0.034,0.885,0.081,0.9926
w135,5161,0.007,0.892,0.102,0.9971
w136,88,0.0,1.0,0.0,0.0
w137,2379,0.097,0.863,0.041,-0.9649
w138,7061,0.029,0.824,0.147,0.999
w139,2083,0.067,0.872,0.062,-0.2105
w140,338,0.0,0.938,0.062,0.25
w141,8143,0.075,0.847,0.078,0.238
w142,8392,0.042,0.879,0.078,0.9842
w143,100,0.0,1.0,0.0,0.0
w144,6032,0.013,0.875,0.113,0.9976
w145,5435,0.098,0.842,0.06,-0.991
w146,4212,0.027,0.884,0.089,0.9853
w147,7092,0.048,0.872,0.08,0.9835
w148,5779,0.042,0.811,0.147,0.9985
w149,18048,0.037,0.848,0.115,0.9997
w150,9252,0.08,0.874,0.047,-0.994
w151,10701,0.015,0.938,0.047,0.9905
w152,4192,0.04,0.884,0.077,0.959
w153,157,0.0,0.743,0.257,0.6734
w154,1050,0.02,0.893,0.087,0.8225
w155,91,0.0,1.0,0.0,0.0
w156,3563,0.034,0.852,0.114,0.9921
w157,1701,0.01,0.955,0.035,0.6597
w158,5616,0.048,0.844,0.109,0.9943
w159,98,0.0,1.0,0.0,0.0
w160,154,0.0,1.0,0.0,0.0
w161,5530,0.044,0.896,0.06,0.9331
w162,228,0.103,0.804,0.093,-0.0772
w163,219,0.0,1.0,0.0,0.0
w164,166,0.204,0.68,0.116,-0.296
w165,713,0.0,0.944,0.056,0.5826
w166,2599,0.019,0.89,0.091,0.9817
w167,5820,0.015,0.873,0.111,0.9975
w168,4835,0.012,0.874,0.114,0.9973
w169,46,0.0,1.0,0.0,0.0
w170,88,0.0,1.0,0.0,0.0
w171,1527,0.0,0.959,0.041,0.8611
w172,8240,0.161,0.754,0.085,-0.9992
w173,6515,0.058,0.845,0.097,0.9826
w174,88,0.0,1.0,0.0,0.0
w175,5863,0.038,0.86,0.101,0.9955
w176,2375,0.07,0.878,0.053,-0.7035
w177,6858,0.064,0.865,0.07,0.6783
w178,10199,0.033,0.845,0.121,0.9989
w179,7116,0.079,0.792,0.129,0.994
w180,4057,0.031,0.862,0.108,0.9919
w181,8225,0.045,0.834,0.121,0.9979
w182,145,0.0,1.0,0.0,0.0
w183,13768,0.092,0.79,0.119,0.9951
w184,14688,0.046,0.85,0.104,0.9983
w185,7790,0.069,0.874,0.057,-0.9393
w186,851,0.0,1.0,0.0,0.0
w187,5785,0.089,0.853,0.058,-0.9915
w188,6915,0.096,0.841,0.063,-0.9923
w189,13776,0.05,0.889,0.061,0.9852
w190,8204,0.043,0.822,0.136,0.9991
