w48,18-03-21, IN, Business Standard, http://www.business-standard.com/article/pti-stories/prasad-warns-fb-of-stringent-action-if-it-sways-electoral-process-118032100638_1.html
w49,18-03-21, IN, News18, https://www.news18.com/news/business/news-live-congress-bjp-level-charges-at-each-other-over-cambridge-analytica-links-1695371.html
w50,18-03-21, IN, BloombergQuint, https://www.bloombergquint.com/opinion/2018/03/21/facebook-s-public-relations-crisis-is-a-mess-of-its-own-making
w51,18-03-21, IN, Moneycontrol.com, https://www.moneycontrol.com/news/business/what-changed-for-the-market-while-you-were-sleeping-15-things-you-should-know-35-2533625.html
w52,18-03-21, AU, ABC Online, http://www.abc.net.au/news/2018-03-22/facebook-cambridge-analytica-digital-surveillance-data-privacy/9575160
w53,18-03-21, IE, The Irish Sun, https://www.thesun.ie/news/2338709/facebook-to-be-called-to-appear-before-the-dail-as-data-harvesting-scandal-grows-and-users-vow-to-boycott-social-network/
w54,18-03-21, IE, Entertainment.ie, http://entertainment.ie/trending/news/The-co-founder-of-Whatsapp-is-urging-people-to-delete-Facebook/403385.htm
w55,18-03-21, CA, Globalnews.ca, https://globalnews.ca/news/4097287/cambridge-analytica-christopher-wylie-justin-trudeau/
w56,18-03-21, CA, iPolitics.ca, https://ipolitics.ca/2018/03/21/cambridge-analytica-shows-the-perils-of-voter-analytics-industry/
w57,18-03-21, GB, Yahoo Finance UK, https://uk.finance.yahoo.com/news/zuckerberg-haven-apos-t-seen-033000568.html
w58,18-03-21, US, Ars Technica, https://arstechnica.com/tech-policy/2018/03/zuckerberg-cambridge-analytica-leak-a-breach-of-trust-with-users/
w59,18-03-21, US, The Guardian, https://www.theguardian.com/uk-news/2018/mar/21/mod-cambridge-analytica-parent-company-scl-group-list-x
w60,18-03-22, ZA, Memeburn, https://memeburn.com/2018/03/cambridge-analytica-facebook-news/
w61,18-03-22, NG, BellaNaija, https://www.bellanaija.com/2018/03/deletefacebook-controversy-facebook-says-cracking-platform-abuse/
w62,18-03-22, IN, Times of India, https://timesofindia.indiatimes.com/city/kolkata/users-in-kolkata-wary-of-social-media-data-theft/articleshow/63423177.cms
w63,18-03-22, PK, DAWN.com, https://www.dawn.com/news/1397037/mueller-to-examine-ties-between-data-firm-and-trump-team
w64,18-03-22, MY, Malay Mail, http://www.themalaymailonline.com/opinion/boo-su-lyn/article/is-facebook-to-blame-for-data-mining
w65,18-03-22, IN, The New Indian Express, http://www.newindianexpress.com/world/2018/mar/22/facebook-scandal-could-push-other-tech-companies-to-tighten-data-sharing-1790854.html
w66,18-03-22, AU, ABC Online, http://www.abc.net.au/news/2018-03-22/new-sa-forecasting-system-could-predict-civil-unrest/9576746
w67,18-03-22, CA, CBC.ca, http://www.cbc.ca/news/politics/trudeau-facebook-new-brunswick-1.4588396
w68,18-03-22, GB, ITV News, http://www.itv.com/news/2018-03-22/facebook-users-left-reviewing-relationship-with-social-media-giant-in-wake-of-cambridge-analytica-scandal/
w69,18-03-23, PK, The Express Tribune, https://tribune.com.pk/story/1667447/8-facebook-dropped-australian-ethical-etf/
w70,18-03-23, AU, The Sydney Morning Herald, https://www.smh.com.au/technology/pr-skills-of-kim-jong-un-time-for-tech-giants-to-dump-their-egos-20180324-p4z60s.html
w71,18-03-23, GB, Daily Mail, http://www.dailymail.co.uk/wires/pa/article-5538859/Data-watchdog-search-Cambridge-Analytica-office-continues-overnight.html
w72,18-03-23, IE, BreakingNews.ie, https://www.breakingnews.ie/world/judge-grants-search-warrant-for-cambridge-analytica-offices-834056.html
w73,18-03-23, AU, The Australian Financial Review, http://www.afr.com/news/politics/national/get-prepared-major-parties-eye-off-social-media-for-next-federal-election-20180322-h0xtsb
w74,18-03-23, US, The Guardian, https://www.theguardian.com/technology/2018/mar/23/facebook-digital-politics-tories-labour-online-advertising-marketing
w75,18-03-24, IN, India Today, https://www.indiatoday.in/technology/news/story/elon-musk-deletes-facebook-pages-of-tesla-and-spacex-with-a-little-help-from-twitter-1196961-2018-03-24
w76,18-03-24, IN, India Today, https://www.indiatoday.in/india/story/rahul-gandhi-takes-aim-at-law-minister-pm-modi-over-pendency-of-cases-1197366-2018-03-25
w77,18-03-24, SG, Catch News, http://www.catchnews.com/international-news/elon-musk-deletes-facebook-page-of-space-x-and-tesla-after-accepting-deletefacebook-challenge-104523.html
w78,18-03-24, NZ, Stuff.co.nz, https://www.stuff.co.nz/technology/102572193/steve-bannon-distances-himself-from-cambridge-analytica-data-mining
w79,18-03-24, IN, The New Indian Express, http://www.newindianexpress.com/nation/2018/mar/24/rahul-gandhi-targets-law-minister-ravi-shankar-prasad-over-pendency-of-cases-in-courts-1791965.html
w80,18-03-24, IN, Livemint, https://www.livemint.com/Politics/QOEIp72IngtkLPGN5vpXHL/Rahul-Gandhi-targets-Ravi-Shankar-Prasad-for-pendency-of-cas.html
w81,18-03-24, IN, Scroll.in, https://scroll.in/article/873171/narendra-modi-app-shares-private-data-of-users-with-american-firm-without-consent-says-cyber-expert
w82,18-03-24, GB, Channel 4 News, https://www.channel4.com/news/brexit-campaign-was-totally-illegal-claims-whistleblower
w83,18-03-24, GB, HeraldScotland, http://www.heraldscotland.com/news/homenews/16114614.A_Brief_Encounter_with_Emily_Thornberry_Labour_front_bencher_promises_to_be_one_tough___39_Cookie__39__if_she_makes_it_to_the_Foreign_office/
w84,18-03-24, US, UPI.com, https://www.upi.com/Class-action-filed-against-Facebook-Cambridge-Analytica-on-behalf-of-50-million-users/1471521927863/
w85,18-03-25, MY, Lowyat.NET (blog), https://www.lowyat.net/2018/158514/apple-ceo-tim-cook-calls-for-more-regulation-on-personal-data-collection/
w86,18-03-25, SG, The Straits Times, http://www.straitstimes.com/world/europe/former-cambridge-analytica-employees-say-firm-sent-dozens-of-foreigners-to-advise-us
w87,18-03-25, IN, Morung Express, http://morungexpress.com/rahul-accuses-modi-of-giving-namo-app-user-data-to-us-firms/
w88,18-03-25, US, NDTV, https://www.ndtv.com/india-news/facebook-records-data-of-all-your-calls-and-text-messages-makes-it-difficult-for-users-to-delete-acc-1828574
w89,18-03-25, CA, National Post, http://nationalpost.com/pmn/news-pmn/the-latest-facebook-questioned-about-scraping-phone-data
w90,18-03-25, CA, iPolitics.ca, https://ipolitics.ca/2018/03/25/what-were-watching-gun-laws-data-leaks-and-pot-legalization-plans/
w91,18-03-25, CA, CanIndia News, https://www.canindia.com/rahul-accuses-modi-of-giving-namo-app-user-data-to-us-firms/
w92,18-03-25, GB, Telegraph.co.uk, https://www.telegraph.co.uk/technology/2018/03/26/facebook-questioned-pulling-android-call-text-data/
w93,18-03-25, GB, Metro Newspaper UK, https://www.metro.news/data-firms-parent-boasted-of-manipulating-elections/991612/
w94,18-03-26, ZA, Fin24, https://www.fin24.com/Companies/ICT/facebook-denies-reports-it-secretly-logs-your-call-data-20180326
w95,18-03-26, IN, BloombergQuint, https://www.bloombergquint.com/opinion/2018/03/26/users-built-facebook-s-empire-and-they-can-crumble-it
w96,18-03-26, IN, Livemint, https://www.livemint.com/Politics/8U78kIKkTzj1v5UTqUrfjK/Facebook-faces-probe-by-US-trade-commission.html
w97,18-03-26, AU, Livewire Markets, https://www.livewiremarkets.com/wires/is-facebook-still-a-buy
w98,18-03-26, CA, CBC.ca, http://www.cbc.ca/news/business/facebook-privacy-investigation-1.4593195
w99,18-03-26, GB, Telegraph.co.uk, https://www.telegraph.co.uk/news/2018/03/26/cambridge-analytica-accused-breaking-us-election-law/
w100,18-03-27, NG, Wetinhappen Magazine (blog), https://www.wetinhappen.com.ng/british-parliament-demand-zuckerberg-testify-on-data-row-reject-deputy/
w101,18-03-27, PK, The Express Tribune, https://tribune.com.pk/story/1670453/8-zuckerberg-will-not-answer-uk-lawmakers-questions-data-scandal/
w102,18-03-27, AU, PC Authority, https://www.pcauthority.com.au/news/nearly-13-of-tech-workers-will-delete-facebook-accounts-amid-scandal-study-487886
w103,18-03-27, US, The American Prospect, http://prospect.org/article/facebook-big-brother
w104,18-03-27, CA, Toronto Star, https://www.thestar.com/opinion/star-columnists/2018/03/27/relax-mark-zuckerberg-we-millennials-wont-be-deletingfacebook-anytime-soon.html
w105,18-03-28, IN, Livemint, https://www.livemint.com/Opinion/fjb0WuvkldAVcLnLkR05oK/Lessons-to-be-learnt-from-the-Facebook-data-compromise.html
w106,18-03-28, US, 6abc.com, http://6abc.com/facebook-announces-overhaul-of-security-and-privacy-settings/3273850/
w107,18-03-28, US, New York Times, https://www.nytimes.com/2018/03/28/technology/facebook-privacy-security-settings.html
w108,18-03-28, CA, TheTyee.ca, https://thetyee.ca/News/2018/03/28/Facebook-Data-Mining-Dirty-Tricks/
w109,18-03-28, IE, Capital.com, https://capital.com/5-warning-signs-of-a-corporate-share-price-collapse
w110,18-03-29, IN, Economic Times, https://economictimes.indiatimes.com/news/politics-and-nation/why-relying-on-big-data-analytics-for-strategies-is-a-risky-move-for-political-parties/articleshow/63537291.cms
w111,18-03-29, PK, The Express Tribune, https://tribune.com.pk/story/1672436/9-cambridge-analytica-worked-extensively-india-claims-christopher-wylie/
w112,18-03-29, BD, ... (satire) (press release) (blog), http://www.unb.com.bd/tech-news/India-sends-notice-to-Facebook-over-alleged-data-breach/66793
w113,18-03-29, IN, Financial Express, http://www.financialexpress.com/industry/technology/facebook-begins-fact-checking-photos-and-videos-to-reduce-fake-news-soon/1115656/
w114,18-03-29, IN, Livemint, https://www.livemint.com/Opinion/hyS6H9b3K0MIyEcvtSJmgP/Friedrich-Hayek-in-the-age-of-Cambridge-Analytica.html
w115,18-03-30, CA, CanIndia News, http://www.canindia.com/facebook-users-data-still-out-in-the-wild-report/
w116,18-04-01, NZ, Interest.co.nz, https://www.interest.co.nz/personal-finance/92878/aussie-consumer-groups-cite-facebook-cambridge-analytica-type-data-dangers
w117,18-04-01, IN, Business Insider India, https://www.businessinsider.in/No-one-thinks-this-is-the-end-of-Facebook-yet-investors-sense-blood-in-the-water/articleshow/63565807.cms
w118,18-04-01, MY, The Edge Markets MY, http://www.theedgemarkets.com/article/make-social-media-players-root-out-fake-accounts-rather-fake-news
w119,18-03-31, US, Chicago Daily Herald, http://www.dailyherald.com/business/20180331/facebook-longtime-friend-of-data-brokers-becomes-their-stiffest-competition
w120,18-04-02, NG, TODAY.NG, https://www.today.ng/technology/social/102317/facebook-force-advertisers-prove-user-consent-targeting-email
w121,18-04-04, ZA, The Media Online, http://themediaonline.co.za/2018/04/why-facebook-is-the-reason-fake-news-is-here-to-stay/
w122,18-04-04, NG, Nigerian Entertainment Today, http://thenet.ng/zuckerberg-says-will-take-longer-expected-solve-facebook-privacy-problems/
w123,18-04-04, IN, VCCircle, http://techcircle.vccircle.com/2018/04/05/this-startup-is-trying-to-thwart-trackers-on-your-data-trail
w124,18-04-04, IN, Scroll.in, https://scroll.in/latest/874480/the-big-news-nda-mps-will-forego-salary-for-disrupted-budget-session-and-nine-other-top-stories
w125,18-04-04, MY, The Malaysian Reserve, https://themalaysianreserve.com/2018/04/04/indonesia-threatens-to-ban-facebook-over-fake-news-privacy/
w126,18-04-04, IE, The Parliament Magazine, https://www.theparliamentmagazine.eu/articles/news/cambridge-analyticafacebook-scandal-%E2%80%98-stab-heart-democracy%E2%80%99-warn-meps
w127,18-04-04, AU, NEWS.com.au, http://www.news.com.au/technology/online/social/facebook-ceo-mark-zuckerberg-to-testify-before-congress/news-story/32fec65dda9bf6c858aadc95fa61f0f2
w128,18-04-04, NZ, New Zealand Herald, http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12026454
w129,18-04-05, KE, Kenya Broadcasting Corporation, http://www.kbc.co.ke/facebook-scandal-hit-87-million-users/
w130,18-04-05, GB, The Times, https://www.thetimes.co.uk/article/facebook-urged-to-tell-users-of-breach-gvnq6fmmg
w131,18-04-06, IE, AdWorld, http://www.adworld.ie/2018/04/06/research-shows-insights-facebooks-irish-users-online-concerns/
w132,18-04-06, GB, Evening Standard, https://www.standard.co.uk/news/uk/facebook-to-verify-identity-of-people-running-popular-pages-amid-fake-news-crack-down-a3808051.html
w133,18-04-08, CA, Times Colonist, http://www.timescolonist.com/opinion/columnists/monique-keiran-social-media-debate-is-shifting-1.23259543
w134,18-04-09, IN, India Today, https://www.indiatoday.in/technology/news/story/ahead-of-senate-hearing-mark-zuckerberg-is-getting-training-from-former-bush-aide-1207925-2018-04-09
w135,18-04-08, US, Toledo Blade, http://www.toledoblade.com/Paddy-O-Gara/2018/04/09/Facebook-The-art-of-sharing.html
w136,18-04-09, CA, CBC.ca, http://www.cbc.ca/news/canada/toronto/former-privacy-commissioner-ontario-facebook-scandal-ann-cavoukian-1.4611147
w137,18-04-09, CA, BNN, https://www.bnn.ca/bnn-s-daily-chase-trans-mountain-expansion-on-ice-trade-worries-ease-1.1050868
w138,18-04-09, GB, Evening Standard, https://www.standard.co.uk/business/james-ashton-facebook-scandal-hasn-t-reduced-techies-to-the-level-of-bankers-yet-a3809516.html
w139,18-04-09, AU, NEWS.com.au, http://www.news.com.au/technology/online/social/facebook-users-await-notification-of-data-breach-before-mark-zuckerberg-faces-grilling/news-story/9fcb92e298c4ebdab3fadfbac7944226
w140,18-04-17, GB, Isle of Wight County Press, http://www.iwcp.co.uk/news/national/16164453.Facebook_facial_recognition_technology_facing_lawsuit_in_US/
w141,18-04-17, AU, The Australian Financial Review, http://www.afr.com/markets/equity-markets/doing-good-and-making-money-an-investment-challenge-20180417-h0ywm4
w142,18-04-17, SG, The Straits Times, http://www.straitstimes.com/asia/se-asia/indonesian-mps-grill-facebook-officials-on-data-breaches
w143,18-04-17, PH, State of Reform, https://stateofreform.com/5-things/2018/04/5-things-california-melanie-fontes-rainer-networking-reception-thosewecarry/
w144,18-04-17, ZA, Moneyweb.co.za, https://www.moneyweb.co.za/news-fast-news/blackrocks-biggest-stock-picking-fund-likes-facebook-shares-2/
w145,18-04-16, CA, Toronto Star, https://www.thestar.com/news/canada/2018/04/16/facebook-canada-offers-closed-door-briefings-to-mps-ahead-of-meeting.html
w146,18-04-15, AU, The Sydney Morning Herald, https://www.smh.com.au/technology/would-you-pay-for-an-ad-free-facebook-20180416-p4z9td.html
w147,18-04-14, PK, The Express Tribune, https://tribune.com.pk/story/1685290/6-apprehension-amidst-zuckerberg-testimony/
w148,18-04-12, AU, The Australian Financial Review, http://www.afr.com/business/legal/its-a-good-time-to-be-a-data-lawyer-20180411-h0ymgw
w149,18-04-12, MY, The Edge Markets MY, http://www.theedgemarkets.com/article/tencents-us50-billion-plunge-isnt-enough-scare-analysts
w150,18-04-11, US, Gizmodo, https://gizmodo.com/how-to-watch-day-2-of-mark-zuckerbergs-capitol-hill-apo-1825168054
w151,18-04-11, CA, Macleans.ca, http://www.macleans.ca/politics/washington/mark-zuckerbergs-insane-to-do-list-for-facebook-after-facing-congress/
w152,18-04-11, CA, Macleans.ca, http://www.macleans.ca/politics/washington/mark-zuckerbergs-second-day-of-testimony-at-congress-live-video/
w153,18-04-11, GB, London South East (blog), http://www.lse.co.uk/FinanceNews.asp?code=5jds307c&headline=LIVE_MARKETSBeware_leveraged_finance_as_credit_cycle_peaks
w154,18-04-11, AU, The Australian Financial Review, http://www.afr.com/technology/social-media/google/facebook-is-in-the-privacy-spotlight-but-should-google-be-next-20180412-h0ynog
w155,18-04-11, PK, Samaa Web Desk, https://www.samaa.tv/pakistan/2018/04/facebook-ceo-vows-to-take-measures-to-protect-integrity-of-elections-in-pakistan/
w156,18-04-11, SG, Yahoo News, https://sg.news.yahoo.com/diamond-silk-pro-trump-sisters-center-facebook-controversy-230104809.html
w157,18-04-11, KE, ZIPO.CO.KE, http://zipo.co.ke/32520/miguna-now-turns-his-focus-on-mutahi-ngunyi/
w158,18-04-10, US, TIME, http://time.com/5235461/mark-zuckerberg-facebook-ted-cruz/
